participant,block,trial,resp,RT,f,eq
LN,1,8,1,0.219,373.51943078,-3.09523629
LN,1,8,1,0.219,537.98067721,0.27846774
LN,1,8,1,0.219,727.63709087,9.34715283
LN,1,8,1,0.219,946.34852608,-3.27048609
LN,1,8,1,0.219,1198.56615988,-1.33743445
LN,1,8,1,0.219,1489.42308164,1.0322956
LN,1,8,1,0.219,1824.83876082,0.08466466
LN,1,8,1,0.219,2211.63951892,-3.56824467
LN,1,8,1,0.219,2657.69745762,-2.17542061
LN,1,8,1,0.219,3172.09067045,1.03954645
LN,1,8,1,0.219,3765.28799853,6.85571757
LN,1,8,1,0.219,4449.36209061,3.11548478
LN,1,8,1,0.219,5238.23510351,6.09700204
LN,1,8,1,0.219,6147.96204348,1.23093924
LN,1,8,1,0.219,7197.05751481,1.72321834
LN,1,8,1,0.219,8406.87252591,-3.34959105
LN,1,8,1,0.219,9802.02902128,-2.82833171
LN,1,8,1,0.219,11410.92098301,7.16495017
LN,1,8,1,0.219,13266.29230024,6.07639524
LN,1,8,1,0.219,15405.90316702,-4.12627746
LN,1,8,1,0.219,17873.29857123,-1.21223829
LN,1,8,1,0.219,20718.69451459,-7.38999709
LN,1,8,1,0.219,24000,-6.82165943
LN,1,9,0,0.23,0,-7.47595137
LN,1,9,0,0.23,107.23874129,-7.94834782
LN,1,9,0,0.23,230.90626491,4.31031066
LN,1,9,0,0.23,373.51943078,-1.08937575
LN,1,9,0,0.23,537.98067721,3.53718906
LN,1,9,0,0.23,727.63709087,-5.69967428
LN,1,9,0,0.23,946.34852608,-1.42807423
LN,1,9,0,0.23,1198.56615988,-4.20746478
LN,1,9,0,0.23,1489.42308164,-7.28824227
LN,1,9,0,0.23,1824.83876082,9.35866427
LN,1,9,0,0.23,2211.63951892,-0.809562
LN,1,9,0,0.23,2657.69745762,-4.70174342
LN,1,9,0,0.23,3172.09067045,-8.47393858
LN,1,9,0,0.23,3765.28799853,0.33025922
LN,1,9,0,0.23,4449.36209061,-1.72504264
LN,1,9,0,0.23,5238.23510351,2.77414764
LN,1,9,0,0.23,6147.96204348,2.56393063
LN,1,9,0,0.23,7197.05751481,-1.99230531
