subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,6,6,-3.268744999999999,True,3.458
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,0,0,-55.744543,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,1,1,-61.644852,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,2,2,45.862089,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,3,3,83.979803,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,4,4,-115.236338,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,5,5,15.233716000000001,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_0,0,6,6,25.782633000000004,False,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,0,0,44.923415,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,1,1,-47.24771200000001,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,2,2,76.690184,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,3,3,5.889355,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,4,4,14.705632,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,5,5,-85.137967,True,2.971
3,11,1,m,20,23-May-2016,Sub3_Trial11_1,1,6,6,1.1358630000000005,True,2.971
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,0,0,3.139113000000002,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,1,1,96.104276,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,2,2,-142.444987,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,3,3,-16.211974,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,4,4,11.284598000000003,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,5,5,-43.686271,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_0,0,6,6,61.68334899999999,False,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,0,0,-8.071347,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,1,1,107.981037,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,2,2,3.1109469999999995,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,3,3,84.447841,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,4,4,-64.634552,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,5,5,5.771270000000001,True,3.413
3,12,1,m,20,23-May-2016,Sub3_Trial12_1,1,6,6,30.385892,True,3.413
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,0,0,-110.77201500000001,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,1,1,-84.286145,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,2,2,-2.387194000000001,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,3,3,-30.821140999999997,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,4,4,47.881977,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,5,5,-2.2389800000000015,True,2.907
3,13,1,m,20,23-May-2016,Sub3_Trial13_0,0,6,6,15.656191,True,2.907
